entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,exit_reason,roi,roi_pct,pnl,minutes_held,max_price,min_price,max_gain_pct,max_loss_pct
7312,2026-02-05 21:52:00+00:00,78.58500137854165,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.011828408677805222,-1.1828408677805222,-11.828408677805221,20,79.51892845282693,77.65546586629037,1.1884291632019954,-1.1828408677805222
7313,2026-02-05 21:53:00+00:00,78.8514250306653,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.015167248580603561,-1.516724858060356,-15.16724858060356,19,79.51892845282693,77.65546586629037,0.8465331119913662,-1.516724858060356
7316,2026-02-05 21:56:00+00:00,78.84182301139805,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.015047307378168666,-1.5047307378168666,-15.047307378168666,16,79.51892845282693,77.65546586629037,0.8588150496355091,-1.5047307378168666
7317,2026-02-05 21:57:00+00:00,78.84854789080933,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.015131312578782759,-1.5131312578782758,-15.131312578782758,15,79.51892845282693,77.65546586629037,0.8502129461482939,-1.5131312578782758
7337,2026-02-05 22:17:00+00:00,77.66906741917366,7379,2026-02-05 22:59:00+00:00,80.77583011594061,TP_HIT,0.04000000000000004,4.000000000000004,40.00000000000004,42,80.81665689700733,77.65647262285363,4.052565046064466,-0.0162159746969244
7338,2026-02-05 22:18:00+00:00,77.65647262285363,7379,2026-02-05 22:59:00+00:00,80.76273152776777,TP_HIT,0.039999999999999966,3.9999999999999964,39.999999999999964,41,80.81665689700733,77.65647262285363,4.069440920271329,0.0
7333,2026-02-05 22:13:00+00:00,77.9019736654045,7384,2026-02-05 23:04:00+00:00,81.01805261202068,TP_HIT,0.040000000000000056,4.000000000000005,40.00000000000006,51,81.3431496812907,77.65647262285363,4.417315574912567,-0.3151409791044806
7335,2026-02-05 22:15:00+00:00,77.87331642650148,7384,2026-02-05 23:04:00+00:00,80.98824908356154,TP_HIT,0.0400000000000001,4.00000000000001,40.0000000000001,49,81.3431496812907,77.65647262285363,4.45574095725604,-0.2784571321712099
7336,2026-02-05 22:16:00+00:00,77.85912221935122,7384,2026-02-05 23:04:00+00:00,80.97348710812527,TP_HIT,0.039999999999999994,3.9999999999999996,39.99999999999999,48,81.3431496812907,77.65647262285363,4.474783895102212,-0.26027726838054027
7339,2026-02-05 22:19:00+00:00,77.82415089013061,7384,2026-02-05 23:04:00+00:00,80.93711692573584,TP_HIT,0.040000000000000015,4.000000000000002,40.000000000000014,45,81.3431496812907,77.81955357060248,4.521731044811635,-0.005907317298740486
7340,2026-02-05 22:20:00+00:00,77.93830251354079,7384,2026-02-05 23:04:00+00:00,81.05583461408243,TP_HIT,0.04000000000000008,4.000000000000008,40.00000000000008,44,81.3431496812907,77.81955357060248,4.36864424543806,-0.15236275247036526
7341,2026-02-05 22:21:00+00:00,77.81955357060248,7384,2026-02-05 23:04:00+00:00,80.93233571342658,TP_HIT,0.040000000000000036,4.0000000000000036,40.000000000000036,43,81.3431496812907,77.81955357060248,4.527905839875325,0.0
7342,2026-02-05 22:22:00+00:00,78.1479390960354,7384,2026-02-05 23:04:00+00:00,81.27385665987681,TP_HIT,0.03999999999999995,3.999999999999995,39.99999999999995,42,81.3431496812907,78.1479390960354,4.0886690323704205,0.0
7334,2026-02-05 22:14:00+00:00,78.30647651991123,7397,2026-02-05 23:17:00+00:00,79.59039352427143,ROLLING_STOP,0.016396051277236815,1.6396051277236816,16.396051277236815,63,81.3431496812907,77.65647262285363,3.8779335967278823,-0.830076803279896
